id_proposicao_voz,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,url_votacao
2140850,6145,senado,"Votação do PLV nº 16/2020 e Pressupostos de Relevância e Urgência da MPV nº 923/2020, ressalvados os destaques.",2020-06-25T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=140850&p_cod_materia_f=140850&p_cod_sessao_votacao_i=6145&p_cod_sessao_votacao_f=6145
2140850,6146,senado,"Votação da Emenda nº 41 à Medida Provisória nº 923, de 2020, destacada.",2020-06-25T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=140850&p_cod_materia_f=140850&p_cod_sessao_votacao_i=6146&p_cod_sessao_votacao_f=6146
2141944,6147,senado,"Votação da Emenda 153 (Subst.) ao PL 2630/2020, com os ajustes propostos pelo Relator, ressalvados os destaques.",2020-06-30T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141944&p_cod_materia_f=141944&p_cod_sessao_votacao_i=6147&p_cod_sessao_votacao_f=6147
2141944,6148,senado,"Votação da Emenda nº 142 - PLEN ao Projeto de Lei nº 2.630, de 2020, destacada.",2020-06-30T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141944&p_cod_materia_f=141944&p_cod_sessao_votacao_i=6148&p_cod_sessao_votacao_f=6148
2141944,6149,senado,"Votação do Art. 10 do Substitutivo ao Projeto de Lei nº 2.630, de 2020, destacado.",2020-06-30T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141944&p_cod_materia_f=141944&p_cod_sessao_votacao_i=6149&p_cod_sessao_votacao_f=6149
2141309,6150,senado,Votação do Projeto de Lei de Conversão nº 19 de 2020 e Pressupostos de Relevância e Urgência da MPV nº 931/2020.,2020-07-02T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141309&p_cod_materia_f=141309&p_cod_sessao_votacao_i=6150&p_cod_sessao_votacao_f=6150
2142085,6151,senado,"Votação do Projeto de Lei nº 1.826 de 2020, nos termos do Parecer.",2020-07-07T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=142085&p_cod_materia_f=142085&p_cod_sessao_votacao_i=6151&p_cod_sessao_votacao_f=6151
2141308,6153,senado,Votação do Projeto de Lei de Conversão nº 21 de 2020 e Pressupostos de Relevância e Urgência da MPV nº 930/2020.,2020-07-08T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141308&p_cod_materia_f=141308&p_cod_sessao_votacao_i=6153&p_cod_sessao_votacao_f=6153
2142691,6154,senado,"Projeto de Lei Complementar nº 9, de 2020.",2020-07-14T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=142691&p_cod_materia_f=142691&p_cod_sessao_votacao_i=6154&p_cod_sessao_votacao_f=6154
2141111,6155,senado,"Votação do PLV nº 23/2020 e Pressupostos da MPV nº 925/2020, nos termos do Parecer.",2020-07-15T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141111&p_cod_materia_f=141111&p_cod_sessao_votacao_i=6155&p_cod_sessao_votacao_f=6155
2141415,6156,senado,"Votação do PLV nº 20/2020 e Pressupostos da MPV nº 944/2020, nos termos do Parecer, com ajustes do Relator.",2020-07-15T00:00:00Z,0,NA,0,https://rl.senado.gov.br/reports/rwservlet?legis&report=/forms/parlam/vono_r01.RDF&paramform=no&p_cod_materia_i=141415&p_cod_materia_f=141415&p_cod_sessao_votacao_i=6156&p_cod_sessao_votacao_f=6156
