id_discurso,id_parlamentar_voz,casa,tipo,data,local,resumo,link
1582,1156190,camara,ENCAMINHAMENTO DE VOTAÇÃO,2019-08-14,NA,"Encaminhamento da votação do requerimento de votação, artigo por artigo, do Projeto de Lei nº 7.596, de 2017, a respeito dos crimes de abuso de autoridade.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F8%2F2019&txPagina=255&txSuplemento=&enviar=Pesquisar
1583,1156190,camara,PELA ORDEM,2019-08-14,NA,"Orientação de bancada na votação da Emenda de Plenário nº 1, com parecer contrário, oferecida ao Projeto de Lei nº 7.596, de 2017, a respeito dos crimes de abuso de autoridade.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F8%2F2019&txPagina=256&txSuplemento=&enviar=Pesquisar
1584,1156190,camara,PELA ORDEM,2019-08-14,NA,"Orientação de bancada na votação do requerimento de destaque para votação em separado do art. 4º do Projeto de Lei nº 7.596, de 2017, a respeito dos crimes de abuso de autoridade, com vista à sua supressão.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F8%2F2019&txPagina=257&txSuplemento=&enviar=Pesquisar
1585,1156190,camara,PELA ORDEM,2019-08-14,NA,"Orientação de bancada na votação do requerimento de destaque para votação em separado do art. 17 do Projeto de Lei nº 7.596, de 2017, a respeito dos crimes de abuso de autoridade, com vista à sua supressão.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=15%2F8%2F2019&txPagina=258&txSuplemento=&enviar=Pesquisar
1586,1156190,camara,COMO LÍDER,2019-08-15,NA,"Protesto contra a decisão da Presidência de não votação nominal do Projeto de Lei nº 7.596, de 2017, sobre os crimes de abuso de autoridade.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=16%2F8%2F2019&txPagina=6&txSuplemento=&enviar=Pesquisar
1587,1156190,camara,COMO LÍDER,2019-08-15,NA,"Ajuizamento, pelo partido Novo, de ação perante o Supremo Tribunal Federal para garantia da votação nominal do Projeto de Lei nº 7.596, de 2017, a respeito dos crimes de abuso de autoridade.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=16%2F8%2F2019&txPagina=31&txSuplemento=&enviar=Pesquisar
1588,1156190,camara,COMO LÍDER,2019-08-20,NA,"Orientação de bancada na votação do requerimento de apreciação em regime de urgência do Projeto de Lei nº 3.715, de 2019, a respeito da posse de arma de fogo na área rural.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=21%2F8%2F2019&txPagina=262&txSuplemento=&enviar=Pesquisar
1589,1156190,camara,BREVES COMUNICAÇÕES,2019-08-21,NA,"Congratulações aos membros a Comissão de Relações Exteriores e de Defesa Nacional e ao Deputado Hildo Rocha, pela aprovação do parecer oferecido à proposta de celebração, entre os Governos do Brasil e dos Estados Unidos da América, do Acordo de Salvaguardas Tecnológicas para utilização do Centro Espacial de Alcântara, no Estado do Maranhão.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=22%2F8%2F2019&txPagina=11&txSuplemento=&enviar=Pesquisar
1590,1156190,camara,PELA ORDEM,2019-08-21,NA,"Orientação de bancada na votação de requerimento de retirada de pauta do Projeto de Lei nº 3.715, de 2019, sobre a regulamentação da posse de armas de fogo em áreas rurais.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=22%2F8%2F2019&txPagina=201&txSuplemento=&enviar=Pesquisar
1591,1156190,camara,PELA ORDEM,2019-08-21,NA,"Apelo ao Plenário de votação simbólica do requerimento de apreciação em regime de urgência do Projeto de Lei nº 7.475, de 2017, sobre a revogação de dispositivos do Código Penal acerca da tipificação do crime de rixa e dos crimes contra a honra.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=22%2F8%2F2019&txPagina=210&txSuplemento=&enviar=Pesquisar
1592,1156190,camara,PELA ORDEM,2019-08-27,NA,"Orientação de bancada na votação do requerimento de retirada de pauta do Substitutivo do Senado Federal ao Projeto de Lei nº 2.999, de 2019, sobre a antecipação do pagamento dos honorários periciais em ações do Instituto Nacional do Seguro Social - INSS.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F8%2F2019&txPagina=144&txSuplemento=&enviar=Pesquisar
1593,1156190,camara,PELA ORDEM,2019-08-27,NA,"Posicionamento do partido NOVO favorável à votação do Projeto de Lei nº 2.999, de 2019, sobre a antecipação do pagamento dos honorários periciais em ações do Instituto Nacional do Seguro Social  - INSS, e da Medida Provisória nº 882, de 2019, sobre alteração da Lei nº 9.503, de 1997 - Código de Trânsito Brasileiro; da Lei nº 10.233, de 2001, acerca da infraestrutura dos transportes aquaviário e terrestre e a criação do Conselho Nacional de Integração de Políticas de Transporte; da Agência Nacional de Transportes Terrestres; da Agência Nacional de Transportes Aquaviários e do Departamento Nacional de Infraestrutura de Transportes; da Lei nº 12.815, de 2013, relativa à exploração direta e indireta pela União de portos e instalações portuárias e sobre as atividades desempenhadas pelos operadores portuários, e da Lei nº 13.334, de 2016, referente à criação do Programa de Parcerias de Investimentos - PPI.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F8%2F2019&txPagina=243&txSuplemento=&enviar=Pesquisar
1594,1156190,camara,PELA ORDEM,2019-08-27,NA,"Defesa de votação do Projeto de Lei nº 2.999, de 2019, sobre a antecipação do pagamento dos honorários periciais em ações do Instituto Nacional do Seguro Social  - INSS, e da Medida Provisória nº 882, de 2019,  sobre alteração da Lei nº 9.503, de 1997 - Código de Trânsito Brasileiro; da Lei nº 10.233, de 2001, acerca da infraestrutura dos transportes aquaviário e terrestre e a criação do Conselho Nacional de Integração de Políticas de Transporte; da Agência Nacional de Transportes Terrestres; da Agência Nacional de Transportes Aquaviários e do Departamento Nacional de Infraestrutura de Transportes; da Lei nº 12.815, de 2013, relativa à exploração direta e indireta pela União de portos e instalações portuárias e sobre as atividades desempenhadas pelos operadores portuários, e da Lei nº 13.334, de 2016, referente à criação do Programa de Parcerias de Investimentos - PPI.  Inexistência de condições para a apreciação do projeto de lei referente aos partidos políticos.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F8%2F2019&txPagina=245&txSuplemento=&enviar=Pesquisar
1595,1156190,camara,PELA ORDEM,2019-08-27,NA,"Orientação de bancada na votação do requerimento de votação, artigo por artigo, do Substitutivo do Senado Federal ao Projeto de Lei nº 2.999, de 2019,  sobre a antecipação do pagamento dos honorários periciais em ações do Instituto Nacional do Seguro Social - INSS.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F8%2F2019&txPagina=274&txSuplemento=&enviar=Pesquisar
1596,1156190,camara,PELA ORDEM,2019-09-03,NA,"Orientação de bancada na votação do requerimento de retirada de pauta do Projeto de Lei nº 2.999, de 2019, sobre a antecipação do pagamento dos honorários periciais nas ações do Instituto Nacional do Seguro Social - INSS. Encaminhamento de indicação ao Ministério da Economia para retificação do valor do Fundo Eleitoral previsto pelo projeto de Lei Orçamentária Anual de 2020.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=4%2F9%2F2019&txPagina=75&txSuplemento=&enviar=Pesquisar
1597,1156190,camara,DISCUSSÃO,2019-09-03,NA,"Discussão do Projeto de Lei nº 11.021, de 2018, sobre a remuneração recebida por funcionário de partido político com recursos do fundo partidário.",http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=4%2F9%2F2019&txPagina=301&txSuplemento=&enviar=Pesquisar
