id_parlamentar_voz,ano,casa,dias_com_sessoes_deliberativas,dias_presentes,dias_ausencias_justificadas,dias_ausencias_nao_justificadas
174383,2019,camara,113,70,43,0
174383,2020,camara,102,95,6,1
174383,2021,camara,79,79,0,0
174398,2019,camara,113,100,13,0
174398,2020,camara,102,100,1,1
174398,2021,camara,79,68,10,1
174399,2019,camara,7,7,0,0
174399,2021,camara,2,1,0,1
174400,2019,camara,113,98,15,0
174400,2020,camara,102,97,4,1
174400,2021,camara,79,79,0,0
174419,2019,camara,113,94,17,2
174419,2020,camara,102,98,3,1
174419,2021,camara,79,79,0,0
174439,2019,camara,113,106,0,7
174439,2020,camara,102,100,2,0
174439,2021,camara,79,78,1,0
174459,2019,camara,113,107,2,4
174459,2020,camara,102,99,3,0
174459,2021,camara,79,79,0,0
174467,2019,camara,113,107,3,3
174467,2020,camara,102,98,4,0
174467,2021,camara,79,43,34,2
174471,2019,camara,113,109,4,0
174471,2020,camara,102,98,3,1
174471,2021,camara,79,79,0,0
174478,2019,camara,113,71,42,0
174478,2020,camara,102,89,13,0
174478,2021,camara,78,63,15,0
174537,2019,camara,113,91,21,1
174537,2020,camara,102,101,1,0
174537,2021,camara,79,73,6,0
174554,2019,camara,113,91,19,3
174554,2020,camara,102,93,7,2
174554,2021,camara,79,77,1,1
174571,2019,camara,105,96,8,1
174574,2019,camara,78,75,3,0
174574,2020,camara,102,100,2,0
174574,2021,camara,77,76,0,1
174585,2019,camara,113,113,0,0
174585,2020,camara,102,102,0,0
174585,2021,camara,79,79,0,0
174646,2019,camara,113,89,24,0
174646,2020,camara,102,96,6,0
174646,2021,camara,79,78,1,0
174655,2019,camara,113,107,6,0
174655,2020,camara,102,100,2,0
174655,2021,camara,79,79,0,0
174693,2019,camara,113,100,13,0
174693,2020,camara,102,99,3,0
174693,2021,camara,79,79,0,0
174749,2019,camara,113,99,5,9
174749,2020,camara,102,96,4,2
174749,2021,camara,78,67,11,0
174784,2019,camara,113,89,24,0
174784,2020,camara,102,99,3,0
174784,2021,camara,79,78,0,1
174806,2020,camara,53,53,0,0
174848,2019,camara,113,96,17,0
174848,2020,camara,102,101,1,0
174848,2021,camara,79,79,0,0
174856,2021,camara,1,1,0,0
175431,2019,camara,113,99,14,0
175431,2020,camara,102,96,6,0
175431,2021,camara,79,79,0,0
176874,2019,camara,113,108,2,3
176874,2020,camara,102,101,1,0
176874,2021,camara,79,78,1,0
181055,2019,camara,113,100,6,7
181055,2020,camara,102,99,3,0
181297,2019,camara,113,113,0,0
181297,2020,camara,102,101,1,0
181297,2021,camara,79,79,0,0
190201,2019,camara,113,102,9,2
190201,2020,camara,102,102,0,0
190201,2021,camara,79,78,0,1
190842,2019,camara,109,104,5,0
190842,2020,camara,102,102,0,0
190842,2021,camara,20,19,0,1
192102,2019,camara,113,106,4,3
192102,2020,camara,102,99,2,1
192102,2021,camara,79,76,1,2
192172,2021,camara,79,63,15,1
192346,2019,camara,113,88,22,3
192346,2020,camara,102,96,3,3
192346,2021,camara,79,75,4,0
192699,2019,camara,113,100,8,5
192699,2020,camara,102,95,5,2
192699,2021,camara,79,79,0,0
192776,2019,camara,113,102,7,4
192776,2020,camara,102,96,4,2
192776,2021,camara,79,78,0,1
193083,2019,camara,113,102,0,11
193083,2020,camara,102,101,1,0
193083,2021,camara,79,79,0,0
198057,2019,camara,113,105,7,1
198057,2020,camara,102,98,3,1
198057,2021,camara,79,69,9,1
1107283,2019,camara,113,86,27,0
1107283,2020,camara,102,94,8,0
1107283,2021,camara,79,79,0,0
1108338,2019,camara,113,99,14,0
1108338,2020,camara,102,99,2,1
1108338,2021,camara,79,79,0,0
1109429,2019,camara,113,107,5,1
1109429,2020,camara,102,99,1,2
1109429,2021,camara,79,79,0,0
1112437,2019,camara,113,101,11,1
1112437,2020,camara,102,92,10,0
1112437,2021,camara,79,74,5,0
1115746,2019,camara,113,108,3,2
1115746,2020,camara,102,95,6,1
1115746,2021,camara,79,76,3,0
1116379,2019,camara,113,111,2,0
1116379,2020,camara,80,79,0,1
1116379,2021,camara,79,78,0,1
1121948,2019,camara,113,112,1,0
1121948,2020,camara,102,101,1,0
1121948,2021,camara,79,78,0,1
1122158,2019,camara,113,98,11,4
1122158,2020,camara,102,99,3,0
1122158,2021,camara,9,7,0,2
1122195,2021,camara,47,47,0,0
1122466,2019,camara,29,26,3,0
1122466,2020,camara,26,26,0,0
1122974,2019,camara,113,102,11,0
1122974,2020,camara,102,94,8,0
1122974,2021,camara,79,79,0,0
1128760,2020,camara,77,70,6,1
1129618,2020,camara,2,2,0,0
1129618,2021,camara,28,28,0,0
1132504,2019,camara,113,99,14,0
1132504,2020,camara,102,98,4,0
1132504,2021,camara,79,77,2,0
1133439,2019,camara,113,108,5,0
1133439,2020,camara,102,101,1,0
1133439,2021,camara,79,79,0,0
1133810,2019,camara,113,109,4,0
1133810,2020,camara,102,100,2,0
1133810,2021,camara,79,78,0,1
1133968,2019,camara,113,97,15,1
1133968,2020,camara,102,95,6,1
1133968,2021,camara,79,78,1,0
1134812,2019,camara,113,106,3,4
1134812,2020,camara,102,97,3,2
1135054,2019,camara,113,108,5,0
1135054,2020,camara,102,101,1,0
1135054,2021,camara,79,79,0,0
1136811,2019,camara,113,109,4,0
1136811,2020,camara,102,100,2,0
1136811,2021,camara,78,55,23,0
1137070,2019,camara,113,94,7,12
1137070,2020,camara,102,93,6,3
1137070,2021,camara,79,79,0,0
1139285,2019,camara,113,103,7,3
1139285,2020,camara,102,94,5,3
1139285,2021,camara,79,78,0,1
1141335,2019,camara,113,105,3,5
1141335,2020,camara,102,97,4,1
1141335,2021,camara,79,79,0,0
1141372,2021,camara,79,78,0,1
1141391,2019,camara,113,96,11,6
1141391,2020,camara,102,99,3,0
1141391,2021,camara,79,79,0,0
1141398,2019,camara,113,102,11,0
1141398,2020,camara,102,96,6,0
1141398,2021,camara,79,79,0,0
1141401,2019,camara,69,45,22,2
1141401,2020,camara,102,92,9,1
1141401,2021,camara,39,38,1,0
1141405,2019,camara,113,106,5,2
1141405,2020,camara,102,100,2,0
1141405,2021,camara,79,75,2,2
1141408,2019,camara,105,94,11,0
1141408,2020,camara,82,78,4,0
1141408,2021,camara,79,78,0,1
1141411,2019,camara,113,108,5,0
1141411,2020,camara,102,95,6,1
1141411,2021,camara,79,79,0,0
