id_proposicao,id_votacao,id_parlamentar,casa,voto
2077621,2077621-131,73466,camara,1
2077621,2077621-131,73486,camara,-1
2077621,2077621-131,73586,camara,-1
2077621,2077621-131,74160,camara,-1
2077621,2077621-131,74161,camara,-1
2077621,2077621-131,74571,camara,-1
2077621,2077621-131,98057,camara,1
2077621,2077621-131,116379,camara,1
2077621,2077621-131,137070,camara,1
2077621,2077621-131,141405,camara,1
2077621,2077621-131,141411,camara,-1
2077621,2077621-131,141470,camara,-1
2077621,2077621-131,141488,camara,-1
2077621,2077621-131,146307,camara,1
2077621,2077621-131,157130,camara,-1
2077621,2077621-131,160587,camara,1
2077621,2077621-131,160600,camara,1
2077621,2077621-131,160632,camara,1
2077621,2077621-131,160673,camara,1
2077621,2077621-131,178860,camara,1
2077621,2077621-131,178874,camara,-1
2077621,2077621-131,178930,camara,1
2077621,2077621-131,178939,camara,-1
2077621,2077621-131,178961,camara,3
2077621,2077621-131,178981,camara,1
2077621,2077621-131,178990,camara,1
2077621,2077621-131,179001,camara,1
2077621,2077621-131,193726,camara,1
2077621,2077621-131,204365,camara,1
2077621,2077621-131,204367,camara,1
2077621,2077621-131,204369,camara,1
2077621,2077621-131,204374,camara,1
2077621,2077621-131,204394,camara,-1
2077621,2077621-131,204395,camara,1
2077621,2077621-131,204398,camara,1
2077621,2077621-131,204406,camara,1
2077621,2077621-131,204429,camara,-1
2077621,2077621-131,204430,camara,-1
2077621,2077621-131,204438,camara,1
2077621,2077621-131,204462,camara,1
2077621,2077621-131,204464,camara,-1
2077621,2077621-131,204468,camara,-1
2077621,2077621-131,204472,camara,1
2077621,2077621-131,204479,camara,1
2077621,2077621-131,204501,camara,-1
2077621,2077621-131,204512,camara,1
2077621,2077621-131,204527,camara,1
2077621,2077621-131,204537,camara,1
2077621,2077621-131,204543,camara,-1
2077621,2077621-131,204550,camara,1
2077621,2077621-131,204576,camara,1
2077621,2077621-131,205865,camara,1
2078693,2078693-63,73604,camara,1
2078693,2078693-63,74317,camara,1
2078693,2078693-63,132504,camara,1
2078693,2078693-63,159237,camara,1
2078693,2078693-63,160508,camara,1
2078693,2078693-63,160635,camara,1
2078693,2078693-63,178858,camara,1
2078693,2078693-63,178871,camara,1
2078693,2078693-63,178933,camara,1
2078693,2078693-63,178952,camara,1
2078693,2078693-63,178977,camara,-1
2078693,2078693-63,178996,camara,-1
2078693,2078693-63,191923,camara,1
2078693,2078693-63,204366,camara,-1
2078693,2078693-63,204381,camara,1
2078693,2078693-63,204389,camara,1
2078693,2078693-63,204440,camara,1
2078693,2078693-63,204461,camara,-1
2078693,2078693-63,204476,camara,1
2078693,2078693-63,204539,camara,1
2078693,2078693-63,204542,camara,1
2078693,2078693-63,204545,camara,-1
2078693,2078693-63,204557,camara,1
2078693,2078693-63,204573,camara,1
2078693,2078693-63,204575,camara,1
2140098,2140098-34,66828,camara,1
2140098,2140098-34,74305,camara,1
2140098,2140098-34,90842,camara,1
2140098,2140098-34,141405,camara,1
2140098,2140098-34,146307,camara,1
2140098,2140098-34,160651,camara,1
2140098,2140098-34,160758,camara,1
2140098,2140098-34,161550,camara,1
2140098,2140098-34,162332,camara,1
2140098,2140098-34,178871,camara,1
2140098,2140098-34,178929,camara,1
2140098,2140098-34,178930,camara,1
2140098,2140098-34,178954,camara,1
2140098,2140098-34,197438,camara,1
2140098,2140098-34,204369,camara,1
2140098,2140098-34,204386,camara,1
2140098,2140098-34,204395,camara,1
2140098,2140098-34,204399,camara,1
