id_parlamentar,casa,ano,dias_ausencias_justificadas,dias_ausencias_nao_justificadas,dias_com_sessoes_deliberativas,dias_presentes
92699,camara,2019,8,5,107,94
92699,camara,2020,4,3,78,71
92776,camara,2019,7,3,107,97
92776,camara,2020,2,2,78,74
93083,camara,2019,0,11,107,96
93083,camara,2020,1,0,78,77
98057,camara,2019,7,0,107,100
98057,camara,2020,1,1,78,76
107283,camara,2019,27,0,107,80
107283,camara,2020,6,0,78,72
108338,camara,2019,14,0,107,93
108338,camara,2020,0,1,78,77
109429,camara,2019,5,1,107,101
109429,camara,2020,0,2,78,76
112437,camara,2019,11,1,107,95
112437,camara,2020,8,0,78,70
115746,camara,2019,3,2,107,102
115746,camara,2020,5,1,78,72
116379,camara,2019,2,0,107,105
116379,camara,2020,0,1,70,69
121948,camara,2019,1,0,107,106
121948,camara,2020,1,0,78,77
122158,camara,2019,10,3,107,94
122158,camara,2020,3,0,78,75
122466,camara,2019,3,0,27,24
122466,camara,2020,0,0,16,16
122974,camara,2019,11,0,107,96
122974,camara,2020,5,0,78,73
128760,camara,2020,4,1,68,63
132504,camara,2019,13,0,107,94
132504,camara,2020,5,0,78,73
133439,camara,2019,5,0,107,102
133439,camara,2020,1,0,78,77
133810,camara,2019,4,0,107,103
133810,camara,2020,0,0,78,78
133968,camara,2019,15,1,107,91
133968,camara,2020,5,0,78,73
134812,camara,2020,1,2,78,75
135054,camara,2019,5,0,107,102
135054,camara,2020,0,0,78,78
136811,camara,2019,4,0,107,103
136811,camara,2020,0,0,78,78
137070,camara,2019,7,12,107,88
137070,camara,2020,4,3,78,71
139285,camara,2019,7,3,107,97
139285,camara,2020,2,1,78,75
141335,camara,2019,3,3,107,101
141335,camara,2020,3,0,78,75
141391,camara,2019,10,6,107,91
141391,camara,2020,1,0,78,77
141398,camara,2019,11,0,107,96
141398,camara,2020,6,0,78,72
141401,camara,2019,20,2,64,42
141401,camara,2020,2,1,78,75
141405,camara,2019,5,2,107,100
141405,camara,2020,0,0,78,78
141408,camara,2019,11,0,100,89
141408,camara,2020,4,0,63,59
141411,camara,2019,5,0,107,102
141411,camara,2020,5,0,78,73
141417,camara,2020,5,0,78,73
141421,camara,2019,4,9,107,94
141421,camara,2020,2,2,78,74
141422,camara,2019,10,1,107,96
141422,camara,2020,6,0,78,72
141427,camara,2019,5,1,107,101
141427,camara,2020,3,1,78,74
141428,camara,2019,16,0,107,91
141428,camara,2020,7,0,45,38
141431,camara,2019,6,8,107,93
141431,camara,2020,1,1,78,76
