id_proposicao,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,orientacao,url_votacao
1198512,1198512-279,camara,"Parecer proferido em Plenário pela Relatora da Comissão Especial, Dep. Professora Dorinha Seabra Rezende (DEM-TO), que conclui pela admissibilidade...",2020-07-21 23:28:34,0,NA,0,-1,NA
2164132,2164132-54,camara,"Parecer à Emenda de Plenário proferido pelo Relator, Dep. Paulão (PT-AL), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela ...",2020-12-09 17:59:36,0,NA,0,5,NA
2164132,2164132-60,camara,"Parecer à Emenda de Plenário proferido pelo Relator, Dep. Paulão (PT-AL), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela ...",2020-12-09 18:46:45,0,NA,0,5,NA
2205645,2205645-102,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 20:42:02,0,NA,0,1,NA
2205645,2205645-105,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 21:06:01,0,NA,0,1,NA
2205645,2205645-110,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 21:37:27,0,NA,0,1,NA
2205645,2205645-113,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 21:54:52,0,NA,0,-1,NA
2205645,2205645-121,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 22:20:41,0,NA,0,-1,NA
2205645,2205645-60,camara,"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 2822/2020, pelo Deputado Vinicius Poit (NOVO/SP) e outros, que ""Requer, com base no ...",2020-12-14 17:21:24,0,NA,0,-1,NA
2205645,2205645-74,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 18:11:02,0,NA,0,-1,NA
2205645,2205645-77,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 18:49:40,0,NA,0,1,NA
2205645,2205645-82,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 19:17:13,0,NA,0,-1,NA
2205645,2205645-92,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 19:40:10,0,NA,0,-1,NA
2205645,2205645-99,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Vinicius Poit (NOVO-SP), pela Comissão especial, que conclui pela constitucionalidade, ...",2020-12-14 20:16:45,0,NA,0,-1,NA
2206203,2206203-119,camara,"Apresentação do Requerimento n. 1388/2020, pelo Deputado Júnior Mano  (PL/CE), que ""Requer a retirada de tramitação da Emenda 196 apresentada ao PL...",2020-06-23 15:38:40,0,NA,0,-1,NA
2206203,2206203-138,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Juscelino Filho (DEM-MA), pela Comissão Especial, que conclui pela constitucionalidade,...",2020-06-23 19:10:50,0,NA,0,1,NA
2206203,2206203-146,camara,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Juscelino Filho (DEM-MA), pela Comissão Especial, que conclui pela constitucionalidade,...",2020-06-23 19:45:57,0,NA,0,1,NA
2206203,2206203-165,camara,"Apresentação da Declaração de Voto n. 8 MESA, pelo Deputado Frei Anastacio Ribeiro  (PT/PB).",2020-06-24 12:48:12,0,NA,0,-1,NA
2206203,2206203-171,camara,"Apresentação da Declaração de Voto n. 8 MESA, pelo Deputado Frei Anastacio Ribeiro  (PT/PB).",2020-06-24 13:32:47,0,NA,0,-1,NA
2206203,2206203-177,camara,"Apresentação da Declaração de Voto n. 8 MESA, pelo Deputado Frei Anastacio Ribeiro  (PT/PB).",2020-06-24 13:56:10,0,NA,0,-1,NA
2206203,2206203-188,camara,"Apresentação da Declaração de Voto n. 8 MESA, pelo Deputado Frei Anastacio Ribeiro  (PT/PB).",2020-06-24 14:55:05,0,NA,0,1,NA
